Order Number,Order Date,Order Time,RestID,CustLocationEasting,CustLocationNorthing
94161,01/01/2017,18:51,1,525631,188071
94157,01/01/2017,18:28,1,524254,185731
94156,01/01/2017,18:20,1,518692,182432
94154,01/01/2017,17:38,1,525371,187611
94153,01/01/2017,17:31,1,521885,186315
94162,01/01/2017,19:05,1,522827,182688
94158,01/01/2017,18:35,1,522793,182924
94155,01/01/2017,17:51,3,544972,265144
94159,01/01/2017,18:37,1,525080,183205
94160,01/01/2017,18:48,3,544979,267390
94163,01/01/2017,20:48,1,522510,187075
7429,01/01/2017,19:00,2,402941,289229
7426,01/01/2017,18:29,2,397128,275044
7425,01/01/2017,18:25,2,401379,279956
7422,01/01/2017,18:21,2,411927,277237
7421,01/01/2017,18:18,2,402459,278774
7420,01/01/2017,18:05,3,545872,256499
7419,01/01/2017,17:59,2,403256,291795
7415,01/01/2017,17:44,2,395186,289748
7414,01/01/2017,17:12,2,407953,283005
7412,01/01/2017,16:27,3,545274,258113
7427,01/01/2017,18:35,2,408280,285285
7413,01/01/2017,16:27,2,407930,286299
7428,01/01/2017,18:50,3,539451,263993
7424,01/01/2017,18:23,3,544824,256741
7423,01/01/2017,18:21,2,408626,277985
7418,01/01/2017,17:50,2,397463,281315
7411,01/01/2017,11:38,2,411508,281840
94172,02/01/2017,20:04,1,518454,184512
94169,02/01/2017,18:49,1,519686,185723
94166,02/01/2017,18:17,1,525803,187551
94171,02/01/2017,19:27,1,523265,184299
94170,02/01/2017,19:12,3,545179,264083
94167,02/01/2017,18:25,1,521577,185795
94173,02/01/2017,20:53,1,518330,183985
94164,02/01/2017,18:01,1,524543,186045
94165,02/01/2017,18:16,3,543361,259842
94168,02/01/2017,18:42,1,524846,184003
7450,02/01/2017,19:08,2,412601,275495
7448,02/01/2017,18:57,3,545678,261824
7442,02/01/2017,18:20,2,401840,275946
7433,02/01/2017,17:28,2,412129,273261
7432,02/01/2017,17:12,3,540575,255503
7452,02/01/2017,19:12,3,543801,255721
7451,02/01/2017,19:10,2,394781,290164
7449,02/01/2017,19:01,2,412786,290759
7445,02/01/2017,18:29,2,413926,280173
7437,02/01/2017,17:42,2,398887,289454
7435,02/01/2017,17:37,2,397553,287388
7430,02/01/2017,12:13,2,398424,281212
7454,02/01/2017,22:19,2,397868,284873
7453,02/01/2017,21:20,2,404108,278462
7447,02/01/2017,18:39,2,410974,291825
